,Coin,classification,total_risk_usd,total_pnl,efficiency%
613,TAO,Greed,1468.6646735905044,3.32202343620178,0.22619345967383378
530,POPCAT,Fear,1460.6853097345133,16.707253805309737,1.1437955659557062
271,CHILLGUY,Extreme Greed,1453.5395061728395,21.658401401234567,1.4900455962329502
302,ENA,Extreme Greed,1447.368338028169,71.069219,4.910237230753685
624,TON,Extreme Greed,1443.4260869565219,-0.00655417391304349,-0.00045407062905888234
635,TURBO,Greed,1428.8487096774193,29.353272612903226,2.0543303440103253
416,LAYER,Greed,1426.6875308641975,0.0,0.0
501,OP,Fear,1417.8626785714284,89.26254228571429,6.295570342231663
533,PROMPT,Fear,1403.3480821917808,6.705373561643836,0.4778125717157238
615,TIA,Extreme Greed,1402.674248366013,14.309617614379084,1.0201668442297616
337,FXS,Greed,1387.8912162162162,-2.037741864864865,-0.14682288071685656
538,PURR,Fear,1371.9942753623188,27.76897263043478,2.023986042004548
694,ZETA,Extreme Greed,1367.7720833333333,17.753664447916666,1.297998742937496
357,GRASS,Extreme Greed,1360.9808333333335,1.4276074833333334,0.10489548775178684
454,MEME,Extreme Greed,1356.3304545454546,52.28452645454546,3.85485161667829
284,DOGE,Greed,1335.7616666666668,10.968491463768114,0.8211413560878336
524,PNUT,Extreme Greed,1312.615875,31.4077196875,2.3927578727097143
517,PENGU,Greed,1306.5966961651916,13.7686961179941,1.053783172604421
229,BABY,Fear,1301.11,32.909933333333335,2.5293736373814157
275,COMP,Extreme Greed,1300.8461333333332,17.801852986666667,1.3684825999405925
549,PYTH,Neutral,1296.9314084507043,8.361588084507042,0.6447209181629486
195,ALT,Greed,1283.42,18.76107843137255,1.461803496234479
651,VINE,Fear,1281.1475939849624,6.574539060150377,0.5131757723324067
203,APE,Extreme Greed,1279.502690909091,19.545229210909092,1.5275645256378587
637,UNI,Extreme Greed,1272.4689473684211,-2.0939662631578946,-0.16455932126975695
618,TIA,Neutral,1269.8607142857143,-118.91263292857143,-9.364226453407431
447,ME,Greed,1265.068,38.62742094285714,3.053386928043168
452,MELANIA,Greed,1258.8722846781504,63.889976029011784,5.075175361839522
321,FARTCOIN,Fear,1257.7805875576037,-12.549069844470047,-0.9977153383197152
656,VIRTUAL,Fear,1257.7427272727273,67.81677225454546,5.391943104421557
568,S,Extreme Fear,1230.2448571428572,-219.12996571428573,-17.811898537271443
320,FARTCOIN,Extreme Greed,1223.4641711229947,21.851069721925132,1.785999969403963
395,IP,Neutral,1220.7265263157894,9.40106652631579,0.7701206063481436
675,WLD,Greed,1219.4080443159924,6.950703528901734,0.5700063700006687
259,BRETT,Extreme Greed,1217.831403508772,7.658775719298246,0.6288863710717311
671,WIF,Neutral,1215.6475,6.6161384375,0.5442481013204897
688,ZEN,Greed,1213.2411111111112,-35.35449122222222,-2.914053183529517
632,TST,Greed,1209.588923076923,-2.726137276923077,-0.2253771694592238
276,COMP,Fear,1193.0444444444445,148.26831488888888,12.427727699443066
522,PIXEL,Greed,1189.7957142857142,13.527800000000001,1.1369851006835507
217,ARB,Neutral,1189.0853333333332,5.4958008666666665,0.4621872554142456
666,WCT,Fear,1183.401219512195,25.63803707317073,2.166470394862267
408,JUP,Fear,1182.139696969697,-42.95800166666667,-3.6339192209504025
183,AI16Z,Greed,1177.5139097744361,23.4149047518797,1.9885034526993437
415,LAYER,Fear,1171.2916379310343,113.69827586206897,9.707085082832592
537,PURR,Extreme Greed,1167.7078649237474,38.50636103703704,3.297602267974066
718,kPEPE,Neutral,1167.512101910828,-0.9679478535031848,-0.082906879673365
503,OP,Neutral,1165.7372,3.2945873199999998,0.28261835686465175
363,GRIFFAIN,Fear,1157.563846153846,18.36284189423077,1.5863351257249143
709,kFLOKI,Extreme Greed,1157.1270967741937,50.21681332258065,4.339783716289564
674,WLD,Fear,1142.481,15.255353633333334,1.335282917907023
228,AVAX,Neutral,1132.5461111111113,1268.1939328333333,111.977244934349
708,kBONK,Neutral,1131.8665277777777,0.9028844305555555,0.07976951419600783
371,HPOS,Neutral,1127.7027272727273,10.717960909090909,0.9504243139512105
364,GRIFFAIN,Greed,1127.0197345132742,16.816993743362833,1.4921649753210031
362,GRIFFAIN,Extreme Greed,1111.9665413533835,15.288874665413534,1.37494017102397
407,JUP,Extreme Greed,1106.907072243346,8.745574889733842,0.7900911566143818
167,AAVE,Greed,1106.6387323943663,3.370490408450704,0.3045700742064378
681,XRP,Greed,1094.6736526946108,4.6271484251497,0.4226966104244559
437,MANTA,Greed,1088.5533333333333,19.991965555555552,1.8365627979234416
164,AAVE,Extreme Fear,1082.7757142857142,0.0,0.0
254,BNB,Neutral,1080.9884210526316,26.659105263157894,2.4661786143091264
213,ARB,Extreme Fear,1079.292,14.8265679,1.373730918046275
234,BERA,Extreme Fear,1074.25871657754,64.65724188770054,6.018777496513204
494,ONDO,Extreme Fear,1070.6778571428572,0.0,0.0
46,@151,Fear,1063.2043333333334,-1.4904160666666668,-0.14018152672440198
42,@142,Greed,1049.5161205564143,1.691605253477589,0.16117953982267208
564,RUNE,Extreme Greed,1022.4892537313433,15.4906496119403,1.5149938794379185
323,FARTCOIN,Neutral,1017.901615720524,-3.619977331877729,-0.35563135729137435
443,MAVIA,Greed,1016.753220338983,30.609294101694918,3.0104939418327934
181,AI16Z,Extreme Greed,1001.2232558139535,10.373367618604652,1.0360693839628734
540,PURR,Neutral,998.9116379310345,8.068948586206897,0.807774009212613
428,LISTA,Neutral,997.365,2.23487,0.22407744406511154
547,PYTH,Fear,984.789,0.0,0.0
299,EIGEN,Greed,967.4999459459459,48.36623802162162,4.999094648458392
693,ZEREBRO,Neutral,961.9366548042705,11.631857035587188,1.2092123714688858
344,GMT,Extreme Greed,959.6719607843138,3.661979666666667,0.3815866062892814
356,GRASS,Extreme Fear,955.7356666666667,16.8077841,1.7586226700757914
654,VIRTUAL,Extreme Fear,947.8066129032259,29.733825612903228,3.137119451174282
658,VIRTUAL,Neutral,939.0255,1.6670846000000001,0.17753347486303622
631,TRX,Extreme Greed,937.0939743589744,8.60193912820513,0.9179377270128479
444,MAVIA,Neutral,927.9509243697479,11.527463974789917,1.2422493121195195
543,PURR/USDC,Fear,927.5041764705882,0.25913657058823525,0.027939127085585973
198,ANIME,Extreme Greed,926.733584,33.9150274288,3.65963077354063
298,EIGEN,Fear,919.7235897435897,288.47173007692305,31.36504633499139
414,KAITO,Neutral,910.8718604651162,20.462103558139535,2.246430529502912
290,DYDX,Extreme Greed,906.1425714285715,13.3861408,1.477266516558889
394,IP,Fear,901.1993650793651,5.754971098412699,0.6385902300215093
707,kBONK,Greed,894.6772390109891,-2.753889186813187,-0.30780811970330696
324,FET,Extreme Greed,869.9542857142858,20.94322857142857,2.407394148789427
191,ALGO,Greed,860.5925,-0.0621,-0.007215958772589816
519,PEOPLE,Extreme Greed,860.57,360.646005,41.90780587285171
212,AR,Extreme Greed,857.066,11.72222,1.3677149717758024
544,PURR/USDC,Greed,843.6331650246306,18.447521435960592,2.186675702278964
231,BADGER,Greed,843.4769461077844,6.625158694610778,0.7854581829630913
166,AAVE,Fear,840.1857364341085,23.221607697674422,2.7638659751867345
205,APE,Greed,838.9145172413793,12.294002562068966,1.4654654686982413
135,@59,Greed,838.5672727272727,159.2905509090909,18.995560176231322
676,WLD,Neutral,819.7848,-22.35001537142857,-2.726327125292951
51,@153,Greed,817.9105172413792,0.46470946551724135,0.056816663402813015
425,LINK,Fear,812.9880303030303,57.78675962121213,7.1079471612482275
653,VINE,Neutral,806.2616221033868,6.852258048128343,0.8498802200521556
200,ANIME,Greed,802.7674999999999,30.073953000000003,3.7462843226712597
539,PURR,Greed,798.949311594203,10.99943904710145,1.37673803425069
562,RSR,Fear,798.36125,6.643823333333334,0.8321825906922878
498,ONDO,Neutral,794.0477751196172,2.898344837320574,0.36500887328649223
305,ENA,Neutral,792.5948000000001,-174.7205272,-22.04411727152386
348,GMX,Extreme Fear,792.1807692307691,47.87775307692308,6.043791384056671
252,BNB,Fear,785.3925,-10.839436617647058,-1.380129886349444
436,MANTA,Extreme Greed,785.1370114942529,14.985301333333332,1.908622458749421
717,kPEPE,Greed,784.2761388286334,-14.929069932754881,-1.9035476401274176
669,WIF,Fear,780.4242857142857,-237.6318999285714,-30.44906524289901
390,IO,Greed,778.8338148148148,-80.54758154444444,-10.342075550943616
295,DYM,Greed,771.3673333333334,24.871337999999998,3.22431828847648
457,MEME,Neutral,764.1424999999999,40.7524965,5.333101679333371
