,Coin,classification,total_pnl,avg_pnl,trade_count,avg_trade_size_usd,total_fees
145,@78,Greed,0.0,0.0,4,628.3275,0.13421427
146,@78,Neutral,0.0,0.0,8,316.49625,0.26270178
147,@8,Extreme Fear,51.56325,1.4323124999999999,36,174.26305555555555,45.035881
148,@8,Extreme Greed,-0.58755,-0.1468875,4,74.705,0.100397
149,@8,Fear,111.74482900000001,0.8465517348484849,132,182.37,232.236194
150,@8,Greed,0.0,0.0,27,155.76444444444445,31.60179
151,@8,Neutral,0.0,0.0,76,127.77394736842105,155.7471
152,@83,Extreme Greed,0.0,0.0,27,46.470370370370375,0.32651022
153,@83,Greed,-42.843649,-7.1406081666666665,6,20.44,0.041054
154,@83,Neutral,-1044.789706,-348.26323533333334,3,16.356666666666666,0.016486
155,@85,Extreme Greed,18968.24494,296.3788271875,64,424.38546875000003,8.31631176
156,@85,Fear,0.0,0.0,30,201.58599999999998,0.38353413000000003
157,@85,Greed,7537.895069,279.18129885185186,27,486.83296296296294,3.4076773399999998
158,@85,Neutral,0.0,0.0,10,253.777,0.15061787999999998
159,@86,Extreme Greed,0.0,0.0,1,10.17,0.00020994
160,@9,Extreme Greed,-58.564889,-29.2824445,2,120.83500000000001,1.8389963
161,@9,Neutral,0.0,0.0,1,0.65,0.0
162,@93,Greed,15.954796,7.977398,2,8.165,0.004899
163,@95,Extreme Greed,-29.438061,-14.7190305,2,60.39,1.132768
164,AAVE,Extreme Fear,0.0,0.0,7,1082.7757142857142,1.094323
165,AAVE,Extreme Greed,9470.339031,41.90415500442478,226,2450.7426548672565,186.967083
166,AAVE,Fear,2995.5873930000002,23.221607697674422,129,840.1857364341085,33.869433
167,AAVE,Greed,478.609638,3.370490408450704,142,1106.6387323943663,34.48557
168,AAVE,Neutral,-5627.986742,-114.85687228571429,49,5335.84693877551,49.195292
169,ACE,Extreme Greed,1371.25966,91.41731066666667,15,3686.760666666667,-1.106022
170,ADA,Extreme Fear,-28964.206838,-193.0947122533333,150,3800.673,49.926777
171,ADA,Extreme Greed,1416.0401749999999,5.446308365384615,260,542.3673461538461,42.017356
172,ADA,Fear,1700.026777,16.34641131730769,104,3201.838076923077,23.763923
173,ADA,Greed,18.95475,1.723159090909091,11,222.88727272727274,0.85811
174,ADA,Neutral,19.898500000000002,1.5306538461538464,13,459.72153846153844,2.091728
175,AI,Extreme Fear,0.0,0.0,5,488.65599999999995,0.855145
176,AI,Extreme Greed,-1.6382960000000002,-0.27304933333333337,6,162.04666666666665,0.340293
177,AI,Fear,37.269836,1.8634917999999998,20,370.26349999999996,2.036339
178,AI,Greed,59.194616,3.482036235294118,17,324.14588235294116,1.838433
179,AI,Neutral,0.0,0.0,3,53.26,0.055923
180,AI16Z,Extreme Fear,1434.4070040000001,84.3768825882353,17,1839.7723529411765,3.183039
181,AI16Z,Extreme Greed,2230.274038,10.373367618604652,215,1001.2232558139535,39.59498
182,AI16Z,Fear,1957.792621,50.199810794871794,39,630.8387179487179,7.448814
183,AI16Z,Greed,3114.182332,23.4149047518797,133,1177.5139097744361,25.970587000000002
184,AI16Z,Neutral,-1011.891904,-9.283411963302752,109,1789.6918348623853,29.556666
185,AIXBT,Extreme Fear,0.0,0.0,18,2313.023888888889,13.989153
186,AIXBT,Extreme Greed,1261.506036,7.46453275739645,169,353.5814201183432,20.811457
187,AIXBT,Fear,10359.673909,79.68979929999999,130,2685.957538461538,99.132289
188,AIXBT,Greed,40018.333396,126.64029555696203,316,1488.9249367088607,140.998117
189,AIXBT,Neutral,20163.839314,136.24215752702702,148,2262.1635135135134,76.630671
190,ALGO,Extreme Greed,14.60512,7.30256,2,103.645,0.072549
191,ALGO,Greed,-0.2484,-0.0621,4,860.5925,1.1628479999999999
192,ALGO,Neutral,4.0068,4.0068,1,217.95,0.076284
193,ALT,Extreme Greed,1034.479529,22.988433977777778,45,3123.2080000000005,-1.185255
194,ALT,Fear,1040.606145,18.256248157894735,57,1697.8273684210526,33.871634
195,ALT,Greed,956.8149999999999,18.76107843137255,51,1283.42,0.678718
196,ALT,Neutral,2051.60633,35.37252293103448,58,1996.6708620689656,26.685422
197,ANIME,Extreme Fear,12.67558,4.225193333333333,3,217.76,0.228647
198,ANIME,Extreme Greed,21196.892143,33.9150274288,625,926.733584,150.24371
199,ANIME,Fear,47.24989,5.249987777777778,9,247.66444444444446,0.780138
200,ANIME,Greed,120.29581200000001,30.073953000000003,4,802.7674999999999,1.123872
201,ANIME,Neutral,-78.931119,-7.893111899999999,10,396.202,1.386702
202,APE,Extreme Fear,7.764197,0.7764197,10,310.26300000000003,1.085912
203,APE,Extreme Greed,5374.938033,19.545229210909092,275,1279.502690909091,72.80413300000001
204,APE,Fear,195.568863,3.621645611111111,54,582.0088888888889,10.999946
205,APE,Greed,3565.2607430000003,12.294002562068966,290,838.9145172413793,78.931847
206,APE,Neutral,123.621016,3.635912235294118,34,278.84441176470585,3.318244
207,APT,Extreme Fear,0.0,0.0,13,4833.630769230769,4.676855
208,APT,Extreme Greed,247.037265,6.334288846153846,39,1617.5692307692307,14.73545
209,APT,Fear,1496.438346,31.175798874999998,48,1799.0570833333334,18.71921
210,APT,Greed,0.0,0.0,3,144.09333333333333,0.15129700000000001
211,APT,Neutral,5.714354,5.714354,1,216.18,0.075663
212,AR,Extreme Greed,117.2222,11.72222,10,857.066,0.592658
213,ARB,Extreme Fear,148.265679,14.8265679,10,1079.292,1.778882
214,ARB,Extreme Greed,124.514624,4.611652740740741,27,2283.274074074074,16.464968
215,ARB,Fear,8768.017658,797.0925143636364,11,2440.1981818181816,2.362195
216,ARB,Greed,511.345086,6.235915682926829,82,2370.947804878049,44.02825
217,ARB,Neutral,82.437013,5.4958008666666665,15,1189.0853333333332,2.5676959999999998
218,ARK,Extreme Greed,26.13828,6.53457,4,69.1075,0.069105
219,ARK,Fear,26.697838,1.3348919000000001,20,449.7405,2.594525
220,ARK,Greed,-26.09575,-6.5239375,4,179.945,0.22689399999999998
221,ATOM,Extreme Greed,88.081144,1.1589624210526315,76,94.37026315789474,2.510205
222,ATOM,Greed,0.0,0.0,2,135.955,0.095165
223,ATOM,Neutral,0.15312,0.15312,1,221.8,0.077631
224,AVAX,Extreme Fear,433.644636,10.324872285714285,42,3436.738571428571,48.369495
225,AVAX,Extreme Greed,140.596871,2.09846076119403,67,91.02746268656716,2.132909
226,AVAX,Fear,186.450938,7.45803752,25,1862.374,16.295758
227,AVAX,Greed,12096.549815,281.3151119767442,43,3957.212093023256,33.587277
228,AVAX,Neutral,22827.490791,1268.1939328333333,18,1132.5461111111113,2.901322
229,BABY,Fear,98.7298,32.909933333333335,3,1301.11,0.854964
230,BADGER,Extreme Greed,0.309638,0.309638,1,103.16,0.034659
231,BADGER,Greed,1106.401502,6.625158694610778,167,843.4769461077844,25.312041
232,BANANA,Greed,-81.48518800000001,-11.640741142857143,7,118.42571428571429,0.207241
233,BANANA,Neutral,0.0,0.0,1,249.54,0.062385
234,BERA,Extreme Fear,12090.904233,64.65724188770054,187,1074.25871657754,31.675897
235,BERA,Fear,-46.68506599999995,-0.14233251829268279,328,1932.708475609756,96.98138
236,BERA,Greed,71674.209298,229.72502980128206,312,1547.1154487179488,51.409516
237,BERA,Neutral,-21617.12832,-191.30202053097344,113,5893.972566371682,170.106757
238,BIGTIME,Extreme Greed,1525.2094900000002,63.550395416666674,24,2695.5916666666667,3.105296
239,BIGTIME,Greed,272.01318000000003,13.600659000000002,20,2595.4790000000003,5.036719
240,BIGTIME,Neutral,-1.1952,-1.1952,1,223.09,0.078082
241,BIO,Extreme Greed,19.87315,2.48414375,8,88.43375,0.247609
242,BIO,Greed,1174.506967,12.234447572916666,96,1479.6146875000002,16.380435
243,BLAST,Extreme Greed,495.331904,9.90663808,50,418.66900000000004,6.752236
244,BLAST,Greed,135.989017,19.427002428571427,7,138.90714285714287,0.332923
245,BLAST,Neutral,1.065303,1.065303,1,220.86,0.077299
246,BLUR,Extreme Greed,233.77154,6.875633529411765,34,1825.58,14.86592
247,BLUR,Fear,31.847859999999997,6.369572,5,437.554,0.76572
248,BLUR,Greed,3057.18593,89.91723323529412,34,3235.809705882353,24.460386
249,BLUR,Neutral,27.531007,6.88275175,4,214.98000000000002,0.300967
250,BNB,Extreme Fear,503.31943,23.967591904761907,21,5155.894761904762,37.068405
251,BNB,Extreme Greed,23.963942,1.9969951666666665,12,747.1391666666667,3.110083
252,BNB,Fear,-737.08169,-10.839436617647058,68,785.3925,14.979423
253,BNB,Greed,6.476289999999996,0.20891258064516116,31,7153.287419354839,77.613151
254,BNB,Neutral,506.52299999999997,26.659105263157894,19,1080.9884210526316,4.667222
255,BNT,Extreme Greed,-17.60528,-1.760528,10,582.841,2.039937
256,BOME,Extreme Greed,21.37104,21.37104,1,200.57,0.0702
257,BOME,Greed,0.0,0.0,4,110.9825,0.155374
258,BOME,Neutral,-9.122938,-3.040979333333333,3,224.96,0.236204
259,BRETT,Extreme Greed,873.1004320000001,7.658775719298246,114,1217.831403508772,28.202942
260,BRETT,Greed,5.6384,0.4027428571428571,14,199.74714285714285,0.978755
261,BRETT,Neutral,2.8551,2.8551,1,219.0,0.076648
262,BTC,Extreme Fear,668.0813579999988,0.47415284457061657,1409,24748.281398154722,9216.108945
263,BTC,Extreme Greed,98707.611677,41.985372895363675,2351,18386.65682262867,12885.00045
264,BTC,Fear,460670.67419499997,62.57412037421896,7362,39580.38095490356,55794.314782
265,BTC,Greed,107508.125644,17.000019867805186,6324,25537.577090449086,36868.479441
266,BTC,Neutral,158797.054533,39.257615459332506,4045,23256.099325092706,21005.573712
267,CAKE,Extreme Greed,415.606001,34.63383341666667,12,1475.9391666666668,-0.19041600000000003
268,CAKE,Greed,0.0,0.0,4,125.08000000000001,0.125077
269,CAKE,Neutral,594.282727,14.494700658536585,41,502.93853658536585,5.34264
270,CANTO,Greed,-188.49813000000003,-18.849813000000005,10,2013.2280000000003,5.032861
271,CHILLGUY,Extreme Greed,3508.661027,21.658401401234567,162,1453.5395061728395,36.936272
272,CHILLGUY,Fear,27.087155,9.029051666666666,3,323.2966666666667,0.339459
273,CHILLGUY,Greed,17.544985999999998,0.6498142962962962,27,353.5211111111111,2.408402
274,CHILLGUY,Neutral,61.86884,6.8743155555555555,9,177.98222222222222,0.56064
275,COMP,Extreme Greed,1335.138974,17.801852986666667,75,1300.8461333333332,18.599697
276,COMP,Fear,1334.414834,148.26831488888888,9,1193.0444444444445,3.455933
277,CRV,Fear,-50.098479,-0.4040199919354838,124,348.01120967741934,15.028649
278,CRV,Greed,-1199.624026,-109.05672963636363,11,6685.334545454545,16.372336
279,CYBER,Extreme Greed,191.5296,191.5296,1,691.62,0.172904
280,CYBER,Greed,0.0,0.0,1,500.09,0.125022
281,DOGE,Extreme Fear,0.0,0.0,2,555.6500000000001,0.388953
282,DOGE,Extreme Greed,19924.32124,43.408107276688455,459,3766.8724183006534,295.892039
283,DOGE,Fear,7907.371107,658.94759225,12,1580.2075000000002,4.597875
284,DOGE,Greed,3027.3036439999996,10.968491463768114,276,1335.7616666666668,115.740116
285,DOGE,Neutral,115809.466287,2969.4734945384616,39,7663.64282051282,103.245228
286,DOT,Extreme Greed,84.719249,2.0171249761904764,42,99.99666666666666,1.341196
287,DOT,Greed,99.633834,3.9853533599999995,25,4737.2092,36.740884
288,DOT,Neutral,9.13481,1.826962,5,6262.512,3.295141
289,DYDX,Extreme Fear,0.0,0.0,49,5406.880612244899,89.02194
290,DYDX,Extreme Greed,468.514928,13.3861408,35,906.1425714285715,8.760404
291,DYDX,Fear,50.085345000000004,1.0434446875,48,2023.8639583333334,32.691385
292,DYDX,Greed,1.644956,0.27415933333333337,6,110.61833333333334,0.232294
293,DYDX,Neutral,18.919256,1.5766046666666667,12,229.54916666666668,0.964098
294,DYM,Extreme Greed,-255.94685099999998,-127.97342549999999,2,1488.865,0.765342
295,DYM,Greed,373.07007,24.871337999999998,15,771.3673333333334,1.0470359999999999
296,DYM,Neutral,5.768124,2.884062,2,108.045,0.07563
297,EIGEN,Extreme Greed,296.151372,4.2920488695652175,69,579.5544927536232,12.011315
298,EIGEN,Fear,11250.397472999999,288.47173007692305,39,919.7235897435897,7.625812
299,EIGEN,Greed,8947.754034,48.36623802162162,185,967.4999459459459,22.415258
300,EIGEN,Neutral,11.516813,1.046983,11,6172.484545454546,6.571598
301,ENA,Extreme Fear,2286.628954,120.34889231578946,19,1572.7505263157893,6.698744
302,ENA,Extreme Greed,25229.572745,71.069219,355,1447.368338028169,87.646556
303,ENA,Fear,132844.122114,767.8850989248555,173,1774.9658959537571,66.59443
304,ENA,Greed,32482.610811,103.11939939999999,315,2026.3606349206348,100.116693
305,ENA,Neutral,-4368.01318,-174.7205272,25,792.5948000000001,3.069595
306,ENS,Greed,-7.121359999999999,-1.7803399999999998,4,5003.6475,5.003645
307,ETC,Extreme Greed,166.7236,83.3618,2,333.38,0.166689
308,ETC,Greed,0.0,0.0,1,500.03,0.125008
309,ETC,Neutral,38.32488,19.16244,2,380.79499999999996,0.19039699999999998
310,ETH,Extreme Fear,261004.626617,380.47321664285715,686,10264.711020408164,1309.388729
311,ETH,Extreme Greed,-40510.156085999995,-21.366116079113922,1896,7881.519319620254,3628.800269
312,ETH,Fear,604505.275047,313.8656672102804,1926,19319.58895638629,5960.277321
313,ETH,Greed,312247.575831,96.70101450325178,3229,11257.72728398885,7923.50494
314,ETH,Neutral,57520.073392,49.97399947176368,1151,14701.0938662033,3546.552053
315,ETHFI,Extreme Greed,0.0,0.0,58,1993.549827586207,40.469029
316,ETHFI,Fear,10801.336599,140.2770986883117,77,2689.9170129870126,72.49323
317,ETHFI,Greed,30450.287787,222.26487435766424,137,2595.769124087591,110.220414
318,ETHFI,Neutral,2673.269384,76.37912525714286,35,2350.594857142857,28.794769
